Identifier,languageCode,countryCode,site,CompetitorModelNumber,curbAdapter,phase,alliedMatchId,GEAModelNumber,associatedProductId
715a50145829d40a133b6defb09f6e7f,en,US,91b8f8a911bff655d08192b7e34f37d1,B4CH120A25,11J07,,74,ZHD120S5,4
74ed6374cd709704fcfc2614632ac638,en,US,91b8f8a911bff655d08192b7e34f37d1,B3CH120A46,11J07,,74,ZHD120S5,4
a1efdeb062aed97121eac8f69f0f3ad2,en,US,91b8f8a911bff655d08192b7e34f37d1,B5CH120A25,11J07,,74,ZHD120S5,4
13a0599dae1969083600495c4488815a,en,US,91b8f8a911bff655d08192b7e34f37d1,CHP8-1353,11J04,,74,ZHD120S5,4
1b06943d689f5b519e68ef51d88d6737,en,US,91b8f8a911bff655d08192b7e34f37d1,B3CH120A58,11J07,,74,ZHD120S5,4
1bd3539e8d0670e3b54176a45ef11fe7,en,US,91b8f8a911bff655d08192b7e34f37d1,B3CH120A25,11J07,,74,ZHD120S5,4
2cbabae6fd5ed85261ce5220a30d8fbd,en,US,91b8f8a911bff655d08192b7e34f37d1,B4CH120A58,11J07,,74,ZHD120S5,4
db40dd2114cc59acd5e6fa92a575e8e5,en,US,91b8f8a911bff655d08192b7e34f37d1,B5CH120A58,11J07,,74,ZHD120S5,4
bf138ab62fd98307799bd6a3a0c1c916,en,US,91b8f8a911bff655d08192b7e34f37d1,B4CH120A46,11J07,,74,ZHD120S5,4
7182e6ad71598b1701ed0743083a5c15,en,US,91b8f8a911bff655d08192b7e34f37d1,PHE120S,no Transition Curb needed,,74,ZHD120S5,4
8a0851d78db64dfc812ac63773697865,en,US,91b8f8a911bff655d08192b7e34f37d1,PHE120H,no Transition Curb needed,,74,ZHD120S5,4
a86f3f2239dcf110163dab60727e8b69,en,US,91b8f8a911bff655d08192b7e34f37d1,PHB120N2S,,,74,ZHD120S5,4
b4a063b4909849cb7f90c0f6e31ce205,en,US,91b8f8a911bff655d08192b7e34f37d1,PHB120N2L,,,74,ZHD120S5,4
3024ea453b9e97e145faeca62a85334e,en,US,91b8f8a911bff655d08192b7e34f37d1,PHE120L,no Transition Curb needed,,74,ZHD120S5,4
316cd4418e6c4a9aadae31c6096d7778,en,US,91b8f8a911bff655d08192b7e34f37d1,PHH120K,no Transition Curb needed,,74,ZHD120S5,4
cb3317bdb64a74eea102d4a18388e5d7,en,US,91b8f8a911bff655d08192b7e34f37d1,DCH120,,,74,ZHD120S5,4
d0ffe65e8c01580d25c1b85cfe0aeff7,en,US,91b8f8a911bff655d08192b7e34f37d1,PHB120N2H,,,74,ZHD120S5,4
0131c608875774cd3dff56acb9dffe82,en,US,91b8f8a911bff655d08192b7e34f37d1,PHH120H,no Transition Curb needed,,74,ZHD120S5,4
6e054ad422787c5d82882b4b7a45295e,en,US,91b8f8a911bff655d08192b7e34f37d1,PHS120S,no Transition Curb needed,,74,ZHD120S5,4
788a5650eebc3ded87e0f085ad8e219f,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH120H,no Transition Curb needed,,74,ZHD120S5,4
a2ab9539363d37b7844b811c135291f8,en,US,91b8f8a911bff655d08192b7e34f37d1,PHH120L,no Transition Curb needed,,74,ZHD120S5,4
03720f8fc9fd523f6560b6fbea735b34,en,US,91b8f8a911bff655d08192b7e34f37d1,Q6SP-120CA,,,74,ZHD120S5,4
c6d79dee9380e5d44b29689cfc7c8c97,en,US,91b8f8a911bff655d08192b7e34f37d1,PHS120L,no Transition Curb needed,,74,ZHD120S5,4
f821303b5c9bc44f9192db730bfc11b5,en,US,91b8f8a911bff655d08192b7e34f37d1,PHS120H,no Transition Curb needed,,74,ZHD120S5,4
0099802d0009bc6b0604ee1f25f3f674,en,US,91b8f8a911bff655d08192b7e34f37d1,Q6SP-120DA,,,74,ZHD120S5,4
66bf5d9c23a28b8bbaa8e1f7ad854ab0,en,US,91b8f8a911bff655d08192b7e34f37d1,WCD120B300BA,,,74,ZHD120S5,4
66fd30ba9b2b8f0f82cdbf71565c1b3d,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH120L,no Transition Curb needed,,74,ZHD120S5,4
781ff39dce0a6ae5fe28c38080c050db,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS120S,no Transition Curb needed,,74,ZHD120S5,4
b364302e967d54259104bfbdf499c942,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS120L,no Transition Curb needed,,74,ZHD120S5,4
08a8aa9bb2d2e0676cabb52530c784e1,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH120S,no Transition Curb needed,,74,ZHD120S5,4
26ff3c43903fadf7520d90a1b742543d,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS120H,no Transition Curb needed,,74,ZHD120S5,4
330274ced420f2be4994947019e63161,en,US,91b8f8a911bff655d08192b7e34f37d1,RHH120K,no Transition Curb needed,,74,ZHD120S5,4
3d32a166873d764cd6d58bd8099f64fb,en,US,91b8f8a911bff655d08192b7e34f37d1,RHPDZT120A,,,,ZHD120S5,4
53123b9d2385a4d185a5cf171f5df8bb,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS120K,no Transition Curb needed,,74,ZHD120S5,4
57719b9e4e51481aade676f93a941182,en,US,91b8f8a911bff655d08192b7e34f37d1,WCD120B400BA,,,74,ZHD120S5,4
66c7650c6612fc638e876e74e8bf3522,en,US,91b8f8a911bff655d08192b7e34f37d1,WCD120C300BA,,,74,ZHD120S5,4
9c9b3debee0443c534bd4c15d0965cf4,en,US,91b8f8a911bff655d08192b7e34f37d1,WCD120CW00BA,,,74,ZHD120S5,4
46a05e7abded2bbba10ac5c87038595a,en,US,91b8f8a911bff655d08192b7e34f37d1,WCD120BW00BA,,,74,ZHD120S5,4
2ec04901df2d9767907cc171ce227cdc,en,US,91b8f8a911bff655d08192b7e34f37d1,RHS102S,no Transition Curb needed,,73,ZHD102S5,4
8e82793185da976ca61205dc6d6da252,en,US,91b8f8a911bff655d08192b7e34f37d1,50HJQ009,no Transition Curb needed,,73,ZHD102S5,4
a972d5aa38de034f1b998b048197c16a,en,US,91b8f8a911bff655d08192b7e34f37d1,50TCQA09,,,73,ZHD102S5,4
5351c98d647cba599445846492e41654,en,US,91b8f8a911bff655d08192b7e34f37d1,50HCQA09,no Transition Curb needed,,73,ZHD102S5,4
57a900e153595cc887c35213aed39cd6,en,US,91b8f8a911bff655d08192b7e34f37d1,50HCQD09,no Transition Curb needed,,73,ZHD102S5,4
5c5199546572ceb1683ef4680638b292,en,US,91b8f8a911bff655d08192b7e34f37d1,50QJ009,no Transition Curb needed,,73,ZHD102S5,4
7bb377b790589fcb0278f9ba666b9cc6,en,US,91b8f8a911bff655d08192b7e34f37d1,548DEX102,no Transition Curb needed,,73,ZHD102S5,4
8df54f3de13d5ec0852f70b8b7cdbee6,en,US,91b8f8a911bff655d08192b7e34f37d1,548JP09,no Transition Curb needed,,73,ZHD102S5,4
