site,title,curbAdapter,phase,alliedMatchId,alliedModelNumber,associatedProductId
91b8f8a911bff655d08192b7e34f37d1,ZXE04S,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04M,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04L,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04A,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04R,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04D,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04E,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04L,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04T,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04N,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04R,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04M,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04F,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150S2,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150N5,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150S4,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150N2,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150N4,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150N5,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150N4,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF150S5,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH150N5,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH150S4,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH150N4,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH150S5,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150N2,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH150N2,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH150S2,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14R,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14F,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14A,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14D,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150S2,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14M,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150S4,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14L,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14E,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ150S5,,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14N,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14L,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14S,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14A,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14F,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG14T,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14M,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14N,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14R,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14E,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14D,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14T,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG14S,no Transition Curb needed,,68,ZGD150S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYG12S,no Transition Curb needed,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,J10ZJN,,,,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF120N5,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF120S5,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF120S4,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF120N2,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF120S2,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF120N4,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH120N2,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH120S2,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH120S4,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ120N2,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ120N5,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ120N4,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH120N5,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH120N4,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH120S5,,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG12F,no Transition Curb needed,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG12N,no Transition Curb needed,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG12M,no Transition Curb needed,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG12L,no Transition Curb needed,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG12A,no Transition Curb needed,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXG12D,no Transition Curb needed,,67,ZGD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ120S4,,,67,ZGD120S5,4
